group,PC1,PC2
train_unlabeled,2.9506303088224537,1.8108158024402348
train_unlabeled,1.2858772657892976,-3.364597842100811
train_unlabeled,-1.2542594437466927,-2.080840790316556
train_unlabeled,2.338608514690705,-1.3472793566424615
train_unlabeled,2.0985581359483017,0.8417994875923575
train_unlabeled,0.28798367649916184,-4.760088223595786
train_unlabeled,-2.5954493049429668,3.3911105528203427
train_unlabeled,-2.616478618632746,0.16706827074297698
train_unlabeled,2.3003356125102408,-0.8175598123813688
train_unlabeled,1.5201234173122151,-3.4976136020869015
train_unlabeled,-0.5274541680711624,-0.9101490595582302
train_unlabeled,-2.886404780268475,2.721065445673474
train_unlabeled,1.8612353480543404,-3.951729198139953
train_unlabeled,-2.2331543880173874,-3.263353083849839
train_unlabeled,-0.9835950398321935,0.018887083060465208
train_unlabeled,-1.4075555287937718,1.1519855397960332
train_unlabeled,1.2192767267632887,3.9982700950108048
train_unlabeled,7.041050107098026,0.4047453655978621
train_unlabeled,3.884338427051174,-3.5437212106686995
train_unlabeled,4.608708629191015,-0.8665873864921829
train_unlabeled,6.42162853697261,-3.852760171457175
train_unlabeled,2.64691106588737,0.355432133145356
train_unlabeled,1.437088602266924,-2.2504481663379363
train_unlabeled,-1.649209707184126,3.64754288608456
train_unlabeled,3.795565041543826,-4.239799159334991
train_unlabeled,3.721307653308536,0.383307485805922
train_unlabeled,-0.23683137760889786,1.1167528430881202
train_unlabeled,2.379461931837424,3.4545578670374093
train_unlabeled,-0.3283311753266944,-0.3433854891905978
train_unlabeled,2.347071158731932,-2.2531181466368175
train_unlabeled,5.884717383178145,-1.5135070716921066
train_unlabeled,-0.13909888969008546,-0.9327835259836933
train_unlabeled,4.646256393845987,-0.09216221257602795
train_unlabeled,1.2617021040899612,-3.637080119296252
train_unlabeled,2.860875833943929,-3.307447692449119
train_unlabeled,2.1086092864842803,-2.0610557016693427
train_unlabeled,-0.229209875029999,3.1516580858328243
train_unlabeled,4.950738269590784,-2.379985479525507
train_unlabeled,2.1417853328744343,0.3038358737531482
train_unlabeled,-2.858119517773383,2.199196745092106
train_unlabeled,-6.156230623518829,2.176337000054995
train_unlabeled,-6.725662853484879,2.0687437850300605
train_unlabeled,1.2309990609107955,-0.7622316404447707
train_unlabeled,-3.5822063539715447,3.570264241948668
train_unlabeled,3.126152498582993,2.927863450094023
train_unlabeled,-0.570820232634963,-3.3386576739072273
train_unlabeled,-0.9794628175923076,4.056586398689256
train_unlabeled,3.9267586748056873,-0.9341449721001863
train_unlabeled,-3.2146916173676434,-2.5918345229529396
train_unlabeled,-4.3154620679405316,-2.28358228890609
train_unlabeled,-2.2893293358110416,-1.213551464465595
train_unlabeled,-4.381891601058145,0.9567929820831642
train_unlabeled,1.328734339528888,1.1892156630172315
train_unlabeled,-3.1373134872400286,0.2546273711664324
train_unlabeled,5.261897061984705,2.7101865795701423
train_unlabeled,-5.399716835391367,0.3293680793958167
train_unlabeled,-0.4822708072304304,-0.803285527129628
train_unlabeled,-2.30806402219728,1.4729882255693922
train_unlabeled,-3.036243397706156,3.0699561585748047
train_unlabeled,1.5505236932332451,4.221378711404945
train_unlabeled,1.3250051233043758,-2.1217650504639267
train_unlabeled,-0.7021070676769271,3.0458856836640527
train_unlabeled,4.151041585198175,3.6079276541449516
train_unlabeled,-4.204165080136605,0.05008387099399082
train_unlabeled,-6.162915669846129,-3.7354172453081484
train_unlabeled,-3.5276351336221174,-4.340808203622855
train_unlabeled,-4.117281773366363,-0.07939780056471467
