source_file,split,feature,comparable_pairs,transition_count,transition_rate
hai-train1.csv,train_unlabeled,P1_PIT01_HH,280799,0,0.0
hai-train1.csv,train_unlabeled,P1_PP01AD,280799,0,0.0
hai-train1.csv,train_unlabeled,P1_PP01AR,280799,0,0.0
hai-train1.csv,train_unlabeled,P1_PP01BD,280799,0,0.0
hai-train1.csv,train_unlabeled,P1_PP01BR,280799,0,0.0
hai-train1.csv,train_unlabeled,P1_PP02D,280799,0,0.0
hai-train1.csv,train_unlabeled,P1_PP02R,280799,0,0.0
hai-train1.csv,train_unlabeled,P1_PP04D,280799,148,0.0005270674040861969
hai-train1.csv,train_unlabeled,P1_SOL01D,280799,0,0.0
hai-train1.csv,train_unlabeled,P1_SOL03D,280799,0,0.0
hai-train1.csv,train_unlabeled,P1_STSP,280799,0,0.0
hai-train1.csv,train_unlabeled,P2_ATSW_Lamp,280799,12,4.2735194925907856e-05
hai-train1.csv,train_unlabeled,P2_AutoGO,280799,12,4.2735194925907856e-05
hai-train1.csv,train_unlabeled,P2_Emerg,280799,0,0.0
hai-train1.csv,train_unlabeled,P2_MASW,280799,12,4.2735194925907856e-05
hai-train1.csv,train_unlabeled,P2_MASW_Lamp,280799,12,4.2735194925907856e-05
hai-train1.csv,train_unlabeled,P2_ManualGO,280799,12,4.2735194925907856e-05
hai-train1.csv,train_unlabeled,P2_ManualSD,280799,6,2.1367597462953928e-05
hai-train1.csv,train_unlabeled,P2_OnOff,280799,0,0.0
hai-train1.csv,train_unlabeled,P2_RTR,280799,0,0.0
hai-train1.csv,train_unlabeled,P2_TripEx,280799,0,0.0
hai-train1.csv,train_unlabeled,P2_VTR01,280799,0,0.0
hai-train1.csv,train_unlabeled,P2_VTR02,280799,0,0.0
hai-train1.csv,train_unlabeled,P2_VTR03,280799,0,0.0
hai-train1.csv,train_unlabeled,P2_VTR04,280799,0,0.0
hai-train1.csv,train_unlabeled,P3_LH01,280799,0,0.0
hai-train1.csv,train_unlabeled,P3_LL01,280799,0,0.0
