source_file,event_number,feature,threshold_defined,response_rule,pre_event_median,pre_event_mode,pre_event_window_samples,file_normal_std,file_normal_constant,reaction_threshold_sigma,reaction_sustain_samples,response_detected,preexisting_excursion,reaction_delay_seconds,peak_abs_deviation_from_pre_median_sd,recovery_threshold_sigma,recovery_sustain_samples,recovery_search_seconds,recovery_search_actual_samples,recovery_detected,recovery_not_observed_within_horizon,recovery_right_censored,recovery_delay_seconds
hai-test1.csv,1,P1_FCV01D,True,3_sigma_from_pre_median,13.801435,6.30596,300,22.84270615719168,False,3.0,3,False,False,,0.4164749541728375,1.0,10,600,600,False,False,False,
hai-test1.csv,1,P1_FCV01Z,True,3_sigma_from_pre_median,14.00146,14.95514,300,23.169097266768347,False,3.0,3,False,False,,0.4356527094595722,1.0,10,600,600,False,False,False,
hai-test1.csv,1,P1_FCV02D,True,3_sigma_from_pre_median,100.0,100.0,300,40.896481276676205,False,3.0,3,False,False,,0.0,1.0,10,600,600,False,False,False,
hai-test1.csv,1,P1_FCV02Z,True,3_sigma_from_pre_median,64.87808,97.32208,300,37.76975658121236,False,3.0,3,False,False,,0.8596001917616239,1.0,10,600,600,False,False,False,
hai-test1.csv,1,P1_FCV03D,True,3_sigma_from_pre_median,52.43064,52.44542,300,1.0646258364164685,False,3.0,3,False,False,,1.9589793227450354,1.0,10,600,600,False,False,False,
hai-test1.csv,1,P1_FCV03Z,True,3_sigma_from_pre_median,53.05634,53.05634,300,1.0746685930744746,False,3.0,3,False,False,,2.087192288352804,1.0,10,600,600,False,False,False,
hai-test1.csv,1,P1_FT01,True,3_sigma_from_pre_median,57.8308,57.06784,300,7.122921026465356,False,3.0,3,True,False,34.0,4.900298609280076,1.0,10,600,600,True,False,False,8.0
hai-test1.csv,1,P1_FT01Z,True,3_sigma_from_pre_median,301.10565,297.13321,300,37.09807579445848,False,3.0,3,True,False,35.0,4.898793430875105,1.0,10,600,600,True,False,False,9.0
hai-test1.csv,1,P1_FT02,True,3_sigma_from_pre_median,58.87984,4.99723,300,1002.1838417006109,False,3.0,3,False,False,,0.05452649277129798,1.0,10,600,600,False,False,False,
hai-test1.csv,1,P1_FT02Z,True,3_sigma_from_pre_median,314.015795,26.01891,300,1257.579495817021,False,3.0,3,False,False,,0.23216770468280745,1.0,10,600,600,False,False,False,
hai-test1.csv,1,P1_FT03,True,3_sigma_from_pre_median,238.64743,239.21962,300,5.620080284055158,False,3.0,3,False,False,,1.527214837900309,1.0,10,600,600,False,False,False,
