comparison,feature,contributing_files,mean_ks_statistic,median_ks_statistic,min_ks_statistic,max_ks_statistic,mean_absolute_mean_shift_sd,median_absolute_mean_shift_sd,zero_variance_change_files
train_prefix_vs_post_train_normal,C_level,25,0.97856,0.9793333333333334,0.964,0.999,7.056643889578024,6.855871485550418,0
train_prefix_vs_post_train_normal,C_temperature.T,25,0.97856,0.9793333333333334,0.964,0.999,0.6690288490589925,0.6054090246834196,0
train_prefix_vs_post_train_normal,dL_rand,25,0.3573466666666667,0.345,0.19899999999999995,0.5609999999999999,0.4201911212674675,0.38182451396935,0
train_prefix_vs_post_train_normal,dT_rand,25,0.3573466666666667,0.345,0.19899999999999995,0.5609999999999999,0.4201911212674675,0.38182451396935,0
train_prefix_vs_post_train_normal,limiter.y,25,0.35346666666666665,0.3393333333333334,0.19899999999999995,0.5609999999999999,0.41697639192372127,0.3140892017327071,0
train_prefix_vs_post_train_normal,RT_level_ini,25,0.3423466666666667,0.3363333333333333,0.19933333333333336,0.5489999999999999,0.29579261679560664,0.30903477639777116,0
train_prefix_vs_post_train_normal,RT_level,25,0.2509866666666667,0.24100000000000002,0.1206666666666667,0.40399999999999997,0.24381279274005288,0.23223677409897386,0
train_prefix_vs_post_train_normal,dt_rand,25,0.13233333333333333,0.12599999999999997,0.07900000000000007,0.20833333333333337,0.1119853560510165,0.09252588337968429,0
train_prefix_vs_post_train_normal,limiter1.y,25,0.13233333333333333,0.12599999999999997,0.07900000000000007,0.20833333333333337,0.11198537310340533,0.09252592127753775,0
train_prefix_vs_post_train_normal,RT_temperature.T,25,0.09114666666666667,0.08233333333333333,0.04633333333333334,0.15400000000000003,0.1029129308652536,0.09485438723821589,0
train_prefix_vs_post_train_normal,HT_temperature.T,25,0.03696,0.03666666666666667,0.018333333333333313,0.059,0.08634328905259131,0.08561411832135297,0
train_prefix_vs_post_train_normal,HT_level,25,0.019346666666666675,0.018666666666666665,0.005333333333333357,0.039000000000000035,0.032119648917035205,0.032680464556212256,0
train_prefix_vs_post_train_normal,heater_act,25,0.014999999999999998,0.01266666666666666,0.0,0.03899999999999998,0.03126150691370345,0.026483297390627568,0
train_prefix_vs_post_train_normal,boundary.m_flow_in,25,0.013253333333333322,0.010000000000000009,0.0003333333333332966,0.03766666666666674,0.040069050336385026,0.0312744071621468,0
train_prefix_vs_post_train_normal,inj_valve_act,25,0.013253333333333322,0.010000000000000009,0.0003333333333332966,0.03766666666666674,0.040069050336385026,0.0312744071621468,0
train_prefix_vs_post_train_normal,Relaxing.active,25,0.007413333333333316,0.005333333333333301,0.0,0.022333333333333316,0.02174640803094154,0.015460842547095307,0
train_prefix_vs_post_train_normal,out_valve_act,25,0.005533333333333319,0.004666666666666597,0.0003333333333332966,0.013666666666666605,0.03641498184957727,0.026119459128587614,0
train_prefix_vs_post_train_normal,inv_valve_act,25,0.003493333333333335,0.0030000000000000027,0.0003333333333332966,0.009333333333333305,0.02039643384625717,0.016957457212307233,0
train_prefix_vs_post_train_normal,dir_valve_act,25,0.0034799999999999896,0.002666666666666706,0.0003333333333332966,0.008333333333333415,0.020607710436790567,0.0158008543967407,0
