source_file,series_id,feature,comparable_pairs,transition_count,transition_rate
032_GHL_id_1_Sensor_tr_50000_1st_65001.csv,1,RT_level_ini,49999,7,0.00014000280005600112
032_GHL_id_1_Sensor_tr_50000_1st_65001.csv,1,RT_temperature.T,49999,7599,0.1519830396607932
032_GHL_id_1_Sensor_tr_50000_1st_65001.csv,1,C_temperature.T,49999,1325,0.026500530010600213
032_GHL_id_1_Sensor_tr_50000_1st_65001.csv,1,RT_level,49999,10394,0.20788415768315366
032_GHL_id_1_Sensor_tr_50000_1st_65001.csv,1,out_valve_act,49999,12,0.00024000480009600192
032_GHL_id_1_Sensor_tr_50000_1st_65001.csv,1,dT_rand,49999,6,0.00012000240004800096
032_GHL_id_1_Sensor_tr_50000_1st_65001.csv,1,inv_valve_act,49999,136,0.0027200544010880217
032_GHL_id_1_Sensor_tr_50000_1st_65001.csv,1,limiter.y,49999,6,0.00012000240004800096
032_GHL_id_1_Sensor_tr_50000_1st_65001.csv,1,inj_valve_act,49999,14,0.00028000560011200225
032_GHL_id_1_Sensor_tr_50000_1st_65001.csv,1,Relaxing.active,49999,136,0.0027200544010880217
032_GHL_id_1_Sensor_tr_50000_1st_65001.csv,1,boundary.m_flow_in,49999,14,0.00028000560011200225
032_GHL_id_1_Sensor_tr_50000_1st_65001.csv,1,dir_valve_act,49999,138,0.002760055201104022
032_GHL_id_1_Sensor_tr_50000_1st_65001.csv,1,dt_rand,49999,68,0.0013600272005440108
032_GHL_id_1_Sensor_tr_50000_1st_65001.csv,1,C_level,49999,1325,0.026500530010600213
032_GHL_id_1_Sensor_tr_50000_1st_65001.csv,1,HT_temperature.T,49999,49999,1.0
032_GHL_id_1_Sensor_tr_50000_1st_65001.csv,1,heater_act,49999,137,0.002740054801096022
032_GHL_id_1_Sensor_tr_50000_1st_65001.csv,1,HT_level,49999,3225,0.06450129002580052
032_GHL_id_1_Sensor_tr_50000_1st_65001.csv,1,limiter1.y,49999,68,0.0013600272005440108
032_GHL_id_1_Sensor_tr_50000_1st_65001.csv,1,dL_rand,49999,6,0.00012000240004800096
033_GHL_id_2_Sensor_tr_50000_1st_51001.csv,2,RT_level_ini,49999,8,0.0001600032000640013
033_GHL_id_2_Sensor_tr_50000_1st_51001.csv,2,RT_temperature.T,49999,7134,0.14268285365707314
033_GHL_id_2_Sensor_tr_50000_1st_51001.csv,2,C_temperature.T,49999,1168,0.023360467209344187
033_GHL_id_2_Sensor_tr_50000_1st_51001.csv,2,RT_level,49999,9703,0.19406388127762556
033_GHL_id_2_Sensor_tr_50000_1st_51001.csv,2,out_valve_act,49999,14,0.00028000560011200225
033_GHL_id_2_Sensor_tr_50000_1st_51001.csv,2,dT_rand,49999,7,0.00014000280005600112
033_GHL_id_2_Sensor_tr_50000_1st_51001.csv,2,inv_valve_act,49999,132,0.002640052801056021
033_GHL_id_2_Sensor_tr_50000_1st_51001.csv,2,limiter.y,49999,6,0.00012000240004800096
033_GHL_id_2_Sensor_tr_50000_1st_51001.csv,2,inj_valve_act,49999,16,0.0003200064001280026
033_GHL_id_2_Sensor_tr_50000_1st_51001.csv,2,Relaxing.active,49999,132,0.002640052801056021
033_GHL_id_2_Sensor_tr_50000_1st_51001.csv,2,boundary.m_flow_in,49999,16,0.0003200064001280026
033_GHL_id_2_Sensor_tr_50000_1st_51001.csv,2,dir_valve_act,49999,134,0.0026800536010720215
033_GHL_id_2_Sensor_tr_50000_1st_51001.csv,2,dt_rand,49999,66,0.0013200264005280105
033_GHL_id_2_Sensor_tr_50000_1st_51001.csv,2,C_level,49999,1168,0.023360467209344187
033_GHL_id_2_Sensor_tr_50000_1st_51001.csv,2,HT_temperature.T,49999,49998,0.999979999599992
033_GHL_id_2_Sensor_tr_50000_1st_51001.csv,2,heater_act,49999,133,0.0026600532010640212
033_GHL_id_2_Sensor_tr_50000_1st_51001.csv,2,HT_level,49999,3134,0.0626812536250725
033_GHL_id_2_Sensor_tr_50000_1st_51001.csv,2,limiter1.y,49999,66,0.0013200264005280105
033_GHL_id_2_Sensor_tr_50000_1st_51001.csv,2,dL_rand,49999,7,0.00014000280005600112
034_GHL_id_3_Sensor_tr_50000_1st_122001.csv,3,RT_level_ini,49999,8,0.0001600032000640013
034_GHL_id_3_Sensor_tr_50000_1st_122001.csv,3,RT_temperature.T,49999,7648,0.15296305926118522
034_GHL_id_3_Sensor_tr_50000_1st_122001.csv,3,C_temperature.T,49999,1254,0.0250805016100322
034_GHL_id_3_Sensor_tr_50000_1st_122001.csv,3,RT_level,49999,10297,0.20594411888237765
034_GHL_id_3_Sensor_tr_50000_1st_122001.csv,3,out_valve_act,49999,14,0.00028000560011200225
034_GHL_id_3_Sensor_tr_50000_1st_122001.csv,3,dT_rand,49999,7,0.00014000280005600112
034_GHL_id_3_Sensor_tr_50000_1st_122001.csv,3,inv_valve_act,49999,132,0.002640052801056021
034_GHL_id_3_Sensor_tr_50000_1st_122001.csv,3,limiter.y,49999,6,0.00012000240004800096
034_GHL_id_3_Sensor_tr_50000_1st_122001.csv,3,inj_valve_act,49999,16,0.0003200064001280026
034_GHL_id_3_Sensor_tr_50000_1st_122001.csv,3,Relaxing.active,49999,131,0.002620052401048021
034_GHL_id_3_Sensor_tr_50000_1st_122001.csv,3,boundary.m_flow_in,49999,16,0.0003200064001280026
034_GHL_id_3_Sensor_tr_50000_1st_122001.csv,3,dir_valve_act,49999,132,0.002640052801056021
034_GHL_id_3_Sensor_tr_50000_1st_122001.csv,3,dt_rand,49999,66,0.0013200264005280105
034_GHL_id_3_Sensor_tr_50000_1st_122001.csv,3,C_level,49999,1254,0.0250805016100322
034_GHL_id_3_Sensor_tr_50000_1st_122001.csv,3,HT_temperature.T,49999,49999,1.0
034_GHL_id_3_Sensor_tr_50000_1st_122001.csv,3,heater_act,49999,132,0.002640052801056021
034_GHL_id_3_Sensor_tr_50000_1st_122001.csv,3,HT_level,49999,3107,0.062141242824856495
034_GHL_id_3_Sensor_tr_50000_1st_122001.csv,3,limiter1.y,49999,66,0.0013200264005280105
034_GHL_id_3_Sensor_tr_50000_1st_122001.csv,3,dL_rand,49999,7,0.00014000280005600112
035_GHL_id_4_Sensor_tr_50000_1st_90001.csv,4,RT_level_ini,49999,7,0.00014000280005600112
035_GHL_id_4_Sensor_tr_50000_1st_90001.csv,4,RT_temperature.T,49999,7413,0.14826296525930518
035_GHL_id_4_Sensor_tr_50000_1st_90001.csv,4,C_temperature.T,49999,1121,0.022420448408968178
035_GHL_id_4_Sensor_tr_50000_1st_90001.csv,4,RT_level,49999,9965,0.1993039860797216
035_GHL_id_4_Sensor_tr_50000_1st_90001.csv,4,out_valve_act,49999,12,0.00024000480009600192
035_GHL_id_4_Sensor_tr_50000_1st_90001.csv,4,dT_rand,49999,6,0.00012000240004800096
035_GHL_id_4_Sensor_tr_50000_1st_90001.csv,4,inv_valve_act,49999,134,0.0026800536010720215
035_GHL_id_4_Sensor_tr_50000_1st_90001.csv,4,limiter.y,49999,5,0.0001000020000400008
035_GHL_id_4_Sensor_tr_50000_1st_90001.csv,4,inj_valve_act,49999,14,0.00028000560011200225
035_GHL_id_4_Sensor_tr_50000_1st_90001.csv,4,Relaxing.active,49999,134,0.0026800536010720215
035_GHL_id_4_Sensor_tr_50000_1st_90001.csv,4,boundary.m_flow_in,49999,14,0.00028000560011200225
035_GHL_id_4_Sensor_tr_50000_1st_90001.csv,4,dir_valve_act,49999,136,0.0027200544010880217
035_GHL_id_4_Sensor_tr_50000_1st_90001.csv,4,dt_rand,49999,67,0.0013400268005360108
035_GHL_id_4_Sensor_tr_50000_1st_90001.csv,4,C_level,49999,1121,0.022420448408968178
035_GHL_id_4_Sensor_tr_50000_1st_90001.csv,4,HT_temperature.T,49999,49998,0.999979999599992
035_GHL_id_4_Sensor_tr_50000_1st_90001.csv,4,heater_act,49999,135,0.0027000540010800214
035_GHL_id_4_Sensor_tr_50000_1st_90001.csv,4,HT_level,49999,3179,0.0635812716254325
035_GHL_id_4_Sensor_tr_50000_1st_90001.csv,4,limiter1.y,49999,67,0.0013400268005360108
035_GHL_id_4_Sensor_tr_50000_1st_90001.csv,4,dL_rand,49999,6,0.00012000240004800096
036_GHL_id_5_Sensor_tr_50000_1st_67147.csv,5,RT_level_ini,49999,6,0.00012000240004800096
036_GHL_id_5_Sensor_tr_50000_1st_67147.csv,5,RT_temperature.T,49999,7675,0.15350307006140124
036_GHL_id_5_Sensor_tr_50000_1st_67147.csv,5,C_temperature.T,49999,1302,0.026040520810416207
036_GHL_id_5_Sensor_tr_50000_1st_67147.csv,5,RT_level,49999,10414,0.20828416568331368
036_GHL_id_5_Sensor_tr_50000_1st_67147.csv,5,out_valve_act,49999,12,0.00024000480009600192
036_GHL_id_5_Sensor_tr_50000_1st_67147.csv,5,dT_rand,49999,6,0.00012000240004800096
036_GHL_id_5_Sensor_tr_50000_1st_67147.csv,5,inv_valve_act,49999,134,0.0026800536010720215
