comparison,feature,contributing_files,mean_ks_statistic,median_ks_statistic,min_ks_statistic,max_ks_statistic,mean_absolute_mean_shift_sd,median_absolute_mean_shift_sd,zero_variance_change_files
post_train_normal_vs_anomaly,C_level,25,0.7278030550813673,0.714980976324599,0.5119730959873583,0.9986353231202677,0.8770184616181758,0.7985313102238513,0
post_train_normal_vs_anomaly,C_temperature.T,25,0.7278025108226543,0.714980976324599,0.5119730959873583,0.9986353231202677,1.0736997654290814,0.740401961966566,0
post_train_normal_vs_anomaly,dL_rand,25,0.701988169867194,0.6723148793181166,0.4694213315712109,0.9630506645078594,0.8159245011065479,0.7814847516521232,0
post_train_normal_vs_anomaly,dT_rand,25,0.701988169867194,0.6723148793181166,0.4694213315712109,0.9630506645078594,0.8159245011065479,0.7814847516521232,0
post_train_normal_vs_anomaly,limiter.y,25,0.6909523541440243,0.6723148793181166,0.4694213315712109,0.9244298875777116,0.7941893025453264,0.7842401021443582,0
post_train_normal_vs_anomaly,RT_level_ini,25,0.69093477607357,0.6813714593647907,0.4563537550739687,0.9789735786415825,0.830021569507232,0.7775774033151975,0
post_train_normal_vs_anomaly,HT_temperature.T,25,0.648335731676578,0.6310479502696261,0.44411870316398117,0.8965657514699387,1.4000928510655055,1.4181912293339938,0
post_train_normal_vs_anomaly,RT_level,25,0.6253457465342906,0.6564698329440369,0.20650644888256597,0.9478040882412467,0.5722888874083973,0.42141605688718575,0
post_train_normal_vs_anomaly,dt_rand,25,0.5776349745719469,0.5188091141205649,0.2530938246526019,0.9791776721253742,0.6312291058096925,0.5054388244190524,0
post_train_normal_vs_anomaly,limiter1.y,25,0.5776349745719469,0.5188091141205649,0.2530938246526019,0.9791776721253742,0.6312291337843309,0.5054390030403766,0
post_train_normal_vs_anomaly,RT_temperature.T,25,0.5222663570897825,0.48699983800421187,0.222783034206536,0.913659793814433,0.5633793123371545,0.3750787052179673,0
post_train_normal_vs_anomaly,HT_level,25,0.38799825226717816,0.3608155359343949,0.35150863517236747,0.7253577411967231,0.7790270149513386,0.7177713160663052,0
post_train_normal_vs_anomaly,heater_act,25,0.382973623017379,0.36082182476794206,0.35150863517236747,0.6634466116413826,0.7987550574700772,0.7513357689911551,0
post_train_normal_vs_anomaly,boundary.m_flow_in,25,0.17690134397879745,0.11447730006114232,0.10801021436731406,0.9028680776502052,0.5637589596670154,0.3595492446659893,0
post_train_normal_vs_anomaly,inj_valve_act,25,0.17690134397879745,0.11447730006114232,0.10801021436731406,0.9028680776502052,0.5637589596670154,0.3595492446659893,0
post_train_normal_vs_anomaly,Relaxing.active,25,0.13957130907785445,0.13945027202894444,0.13671482940958535,0.14286003563907335,0.40275013364952017,0.40255037105975433,0
post_train_normal_vs_anomaly,inv_valve_act,25,0.03272516950500866,0.03275836390961151,0.03201610796022192,0.033371132350558885,0.1839320310256909,0.18403148901843738,0
post_train_normal_vs_anomaly,dir_valve_act,25,0.030349406121582184,0.030344629758636277,0.029712707554477746,0.030974944651439018,0.1769130742769516,0.17690118205314387,0
post_train_normal_vs_anomaly,out_valve_act,25,0.028606006583734914,0.02836970388320026,0.02635219255775345,0.03120420537502855,0.17157645942408642,0.17087377404100118,0
