source_file,series_id,feature,lag_samples,autocorrelation
032_GHL_id_1_Sensor_tr_50000_1st_65001.csv,1,RT_level_ini,1,0.9995816584195207
032_GHL_id_1_Sensor_tr_50000_1st_65001.csv,1,RT_level_ini,10,0.9958064698322745
032_GHL_id_1_Sensor_tr_50000_1st_65001.csv,1,RT_level_ini,100,0.9570132669583228
032_GHL_id_1_Sensor_tr_50000_1st_65001.csv,1,RT_level_ini,1000,0.5346302487667046
032_GHL_id_1_Sensor_tr_50000_1st_65001.csv,1,RT_temperature.T,1,0.9999962731744275
032_GHL_id_1_Sensor_tr_50000_1st_65001.csv,1,RT_temperature.T,10,0.9996673745164477
032_GHL_id_1_Sensor_tr_50000_1st_65001.csv,1,RT_temperature.T,100,0.9860227365504494
032_GHL_id_1_Sensor_tr_50000_1st_65001.csv,1,RT_temperature.T,1000,0.6037463136529179
032_GHL_id_1_Sensor_tr_50000_1st_65001.csv,1,C_temperature.T,1,0.9999991635520546
032_GHL_id_1_Sensor_tr_50000_1st_65001.csv,1,C_temperature.T,10,0.9999277673433836
032_GHL_id_1_Sensor_tr_50000_1st_65001.csv,1,C_temperature.T,100,0.9965878404773487
032_GHL_id_1_Sensor_tr_50000_1st_65001.csv,1,C_temperature.T,1000,0.9446745049759704
032_GHL_id_1_Sensor_tr_50000_1st_65001.csv,1,RT_level,1,0.9999188070674563
032_GHL_id_1_Sensor_tr_50000_1st_65001.csv,1,RT_level,10,0.9929041614534445
032_GHL_id_1_Sensor_tr_50000_1st_65001.csv,1,RT_level,100,0.7908268345431405
032_GHL_id_1_Sensor_tr_50000_1st_65001.csv,1,RT_level,1000,0.23002234498377255
032_GHL_id_1_Sensor_tr_50000_1st_65001.csv,1,out_valve_act,1,0.9953278454146248
032_GHL_id_1_Sensor_tr_50000_1st_65001.csv,1,out_valve_act,10,0.9532782262312398
032_GHL_id_1_Sensor_tr_50000_1st_65001.csv,1,out_valve_act,100,0.532759424366475
032_GHL_id_1_Sensor_tr_50000_1st_65001.csv,1,out_valve_act,1000,-0.027152302151440964
032_GHL_id_1_Sensor_tr_50000_1st_65001.csv,1,dT_rand,1,0.999746868998957
032_GHL_id_1_Sensor_tr_50000_1st_65001.csv,1,dT_rand,10,0.9974671471959654
032_GHL_id_1_Sensor_tr_50000_1st_65001.csv,1,dT_rand,100,0.9745150189822008
032_GHL_id_1_Sensor_tr_50000_1st_65001.csv,1,dT_rand,1000,0.7383770926099024
032_GHL_id_1_Sensor_tr_50000_1st_65001.csv,1,inv_valve_act,1,0.9557742018683748
032_GHL_id_1_Sensor_tr_50000_1st_65001.csv,1,inv_valve_act,10,0.557739406858825
032_GHL_id_1_Sensor_tr_50000_1st_65001.csv,1,inv_valve_act,100,-0.032869680410663835
032_GHL_id_1_Sensor_tr_50000_1st_65001.csv,1,inv_valve_act,1000,0.019873169245167428
032_GHL_id_1_Sensor_tr_50000_1st_65001.csv,1,limiter.y,1,0.999833478417018
032_GHL_id_1_Sensor_tr_50000_1st_65001.csv,1,limiter.y,10,0.9983343893511083
032_GHL_id_1_Sensor_tr_50000_1st_65001.csv,1,limiter.y,100,0.9833041647290826
032_GHL_id_1_Sensor_tr_50000_1st_65001.csv,1,limiter.y,1000,0.8346279760363579
032_GHL_id_1_Sensor_tr_50000_1st_65001.csv,1,inj_valve_act,1,0.9986436578380977
032_GHL_id_1_Sensor_tr_50000_1st_65001.csv,1,inj_valve_act,10,0.9864362551825038
032_GHL_id_1_Sensor_tr_50000_1st_65001.csv,1,inj_valve_act,100,0.8643301593504217
032_GHL_id_1_Sensor_tr_50000_1st_65001.csv,1,inj_valve_act,1000,-0.09808221229021184
032_GHL_id_1_Sensor_tr_50000_1st_65001.csv,1,Relaxing.active,1,0.9885041162173244
032_GHL_id_1_Sensor_tr_50000_1st_65001.csv,1,Relaxing.active,10,0.8850378736477517
032_GHL_id_1_Sensor_tr_50000_1st_65001.csv,1,Relaxing.active,100,-0.10632038342314583
032_GHL_id_1_Sensor_tr_50000_1st_65001.csv,1,Relaxing.active,1000,0.07411796601275594
032_GHL_id_1_Sensor_tr_50000_1st_65001.csv,1,boundary.m_flow_in,1,0.9986436578380978
