group,feature,rows,finite_count,missing_count,missing_rate,infinite_count,infinite_rate,zero_count,zero_rate,mean,std,min,max
all_data,RT_level_ini,4975025,4975025,0,0.0,0,0.0,23328,0.004689021663207723,2.219080128230975,0.4262483285192504,0.0,2.99000000954
all_data,RT_temperature.T,4975025,4975025,0,0.0,0,0.0,0,0.0,312.7072166791603,12.78165876040489,283.033294678,334.986938477
all_data,C_temperature.T,4975025,4975025,0,0.0,0,0.0,0,0.0,326.7551720568411,11.598278516063834,273.149993896,330.203796387
all_data,RT_level,4975025,4975025,0,0.0,0,0.0,0,0.0,1.7525529632939512,0.5062853516557383,0.5,2.99000000954
all_data,out_valve_act,4975025,4975025,0,0.0,0,0.0,4837911,0.9724395354797212,0.027560464520278792,0.16370977583147525,0.0,1.0
all_data,dT_rand,4975025,4975025,0,0.0,0,0.0,223916,0.045008015035100324,0.07245141550642437,0.9406757951628079,-2.80599379539,3.03546261787
all_data,inv_valve_act,4975025,4975025,0,0.0,0,0.0,4815676,0.9679702112049688,0.03202978879503118,0.17607920847358094,0.0,1.0
all_data,limiter.y,4975025,4975025,0,0.0,0,0.0,0,0.0,284.4612768872386,8.206736578173409,274.0,313.354614258
all_data,inj_valve_act,4975025,4975025,0,0.0,0,0.0,4403095,0.8850397736694791,0.11496022633052096,0.31897396938243705,0.0,1.0
all_data,Relaxing.active,4975025,4975025,0,0.0,0,0.0,4295149,0.8633421942603303,0.13665780573966965,0.34348576911575135,0.0,1.0
all_data,boundary.m_flow_in,4975025,4975025,0,0.0,0,0.0,4403095,0.8850397736694791,2.2992045266104193,6.379479387648741,0.0,20.0
all_data,dir_valve_act,4975025,4975025,0,0.0,0,0.0,4826865,0.9702192451294215,0.029780754870578543,0.1699819617421225,0.0,1.0
all_data,dt_rand,4975025,4975025,0,0.0,0,0.0,57984,0.011655016808960758,0.010446144860849568,0.9947422817378933,-3.74645233154,3.62742996216
all_data,C_level,4975025,4975025,0,0.0,0,0.0,0,0.0,0.8835161008841117,0.5264089190657656,0.00999999977648,1.89254689217
all_data,HT_temperature.T,4975025,4975025,0,0.0,0,0.0,0,0.0,322.38526664628415,10.1765264951628,283.149993896,352.999420166
all_data,heater_act,4975025,4975025,0,0.0,0,0.0,1765153,0.35480284018673275,0.6451971598132673,0.4784535826969672,0.0,1.0
all_data,HT_level,4975025,4975025,0,0.0,0,0.0,0,0.0,0.4380503854759483,0.2284107538834399,0.0999999940395,0.600000023842
all_data,limiter1.y,4975025,4975025,0,0.0,0,0.0,0,0.0,100.10446138839039,9.947422861766148,62.5354766846,136.274307251
all_data,dL_rand,4975025,4975025,0,0.0,0,0.0,223916,0.045008015035100324,0.07245141550642437,0.9406757951628079,-2.80599379539,3.03546261787
