source_file,series_id,filename_prefix_number,n_rows,feature_count,train_length,evaluation_rows,filename_first_anomaly,first_anomaly_index_0based,first_anomaly_position_1based,first_anomaly_matches_filename_zero_based,first_anomaly_matches_filename_one_based,clean_gap_after_train,train_positive_count,normal_count,anomaly_count,anomaly_rate,event_count,label_missing_count,label_unique_values,feature_missing_count,feature_infinite_count,duplicate_full_row_count,column_order_matches_reference
032_GHL_id_1_Sensor_tr_50000_1st_65001.csv,1,32,200001,19,50000,150001,65001,65001,65002,True,False,15001,0,198151,1850,0.009249953750231249,2,0,0|1,0,0,0,True
033_GHL_id_2_Sensor_tr_50000_1st_51001.csv,2,33,200001,19,50000,150001,51001,51001,51002,True,False,1001,0,198154,1847,0.009234953825230874,2,0,0|1,0,0,0,True
034_GHL_id_3_Sensor_tr_50000_1st_122001.csv,3,34,200001,19,50000,150001,122001,122001,122002,True,False,72001,0,198082,1919,0.009594952025239873,2,0,0|1,0,0,0,False
035_GHL_id_4_Sensor_tr_50000_1st_90001.csv,4,35,200001,19,50000,150001,90001,90001,90002,True,False,40001,0,197288,2713,0.013564932175339123,3,0,0|1,0,0,0,True
036_GHL_id_5_Sensor_tr_50000_1st_67147.csv,5,36,200001,19,50000,150001,67147,67147,67148,True,False,17147,0,197718,2283,0.011414942925285373,2,0,0|1,0,0,0,True
037_GHL_id_6_Sensor_tr_50000_1st_80001.csv,6,37,200001,19,50000,150001,80001,80001,80002,True,False,30001,0,198135,1866,0.009329953350233249,2,0,0|1,0,0,0,True
038_GHL_id_7_Sensor_tr_50000_1st_100001.csv,7,38,200001,19,50000,150001,100001,100001,100002,True,False,50001,0,198306,1695,0.008474957625211874,2,0,0|1,0,0,0,False
039_GHL_id_8_Sensor_tr_50000_1st_63030.csv,8,39,200001,19,50000,150001,63030,63030,63031,True,False,13030,0,198833,1168,0.005839970800146,1,0,0|1,0,0,0,True
040_GHL_id_9_Sensor_tr_50000_1st_92001.csv,9,40,200001,19,50000,150001,92001,92001,92002,True,False,42001,0,197614,2387,0.011934940325298373,2,0,0|1,0,0,0,True
041_GHL_id_10_Sensor_tr_50000_1st_57001.csv,10,41,200001,19,50000,150001,57001,57001,57002,True,False,7001,0,198146,1855,0.009274953625231874,2,0,0|1,0,0,0,True
042_GHL_id_11_Sensor_tr_50000_1st_150001.csv,11,42,200001,19,50000,150001,150001,150001,150002,True,False,100001,0,198455,1546,0.007729961350193249,2,0,0|1,0,0,0,False
043_GHL_id_12_Sensor_tr_39938_1st_40038.csv,12,43,200001,19,39938,160063,40038,40038,40039,True,False,100,0,198950,1051,0.005254973725131375,1,0,0|1,0,0,0,True
044_GHL_id_13_Sensor_tr_50000_1st_145001.csv,13,44,200001,19,50000,150001,145001,145001,145002,True,False,95001,0,198152,1849,0.009244953775231124,2,0,0|1,0,0,0,False
045_GHL_id_14_Sensor_tr_50000_1st_85076.csv,14,45,200001,19,50000,150001,85076,85076,85077,True,False,35076,0,198230,1771,0.008854955725221374,2,0,0|1,0,0,0,True
046_GHL_id_15_Sensor_tr_50000_1st_156462.csv,15,46,200001,19,50000,150001,156462,156462,156463,True,False,106462,0,198762,1239,0.0061949690251548745,1,0,0|1,0,0,0,True
047_GHL_id_16_Sensor_tr_50000_1st_77001.csv,16,47,200001,19,50000,150001,77001,77001,77002,True,False,27001,0,197273,2728,0.013639931800340998,3,0,0|1,0,0,0,True
048_GHL_id_17_Sensor_tr_50000_1st_154001.csv,17,48,200001,19,50000,150001,154001,154001,154002,True,False,104001,0,196418,3583,0.017914910425447874,4,0,0|1,0,0,0,False
049_GHL_id_18_Sensor_tr_50000_1st_109001.csv,18,49,200001,19,50000,150001,109001,109001,109002,True,False,59001,0,194452,5549,0.02774486127569362,4,0,0|1,0,0,0,False
050_GHL_id_19_Sensor_tr_43750_1st_55001.csv,19,50,175001,19,43750,131251,55001,55001,55002,True,False,11251,0,173872,1129,0.0064513917063331065,1,0,0|1,0,0,0,True
051_GHL_id_20_Sensor_tr_50000_1st_75110.csv,20,51,200001,19,50000,150001,75110,75110,75111,True,False,25110,0,198810,1191,0.005954970225148874,1,0,0|1,0,0,0,True
052_GHL_id_21_Sensor_tr_50000_1st_98001.csv,21,52,200001,19,50000,150001,98001,98001,98002,True,False,48001,0,199030,971,0.0048549757251213745,1,0,0|1,0,0,0,True
053_GHL_id_22_Sensor_tr_50000_1st_126448.csv,22,53,200001,19,50000,150001,126448,126448,126449,True,False,76448,0,193509,6492,0.0324598377008115,5,0,0|1,0,0,0,False
054_GHL_id_23_Sensor_tr_50000_1st_135001.csv,23,54,200001,19,50000,150001,135001,135001,135002,True,False,85001,0,196267,3734,0.018669906650466746,3,0,0|1,0,0,0,False
055_GHL_id_24_Sensor_tr_50000_1st_118124.csv,24,55,200001,19,50000,150001,118124,118124,118125,True,False,68124,0,198992,1009,0.0050449747751261246,1,0,0|1,0,0,0,False
056_GHL_id_25_Sensor_tr_50000_1st_105568.csv,25,56,200001,19,50000,150001,105568,105568,105569,True,False,55568,0,196857,3144,0.015719921400392998,3,0,0|1,0,0,0,False
