series,ratio,kept_length,channel,missing_value_count,nonfinite_value_count,unique_value_count,minimum,first_quartile,median,third_quartile,maximum,interquartile_range,standard_deviation,iqr_zero,standard_deviation_zero
1,0.05,2500,C_level,0,0,1,0.00999999977648,0.00999999977648,0.00999999977648,0.00999999977648,0.00999999977648,0.0,1.1451465463614775e-16,True,False
1,0.05,2500,C_temperature.T,0,0,1,273.149993896,273.149993896,273.149993896,273.149993896,273.149993896,0.0,9.779024044487482e-12,True,False
1,0.05,2500,HT_level,0,0,46,0.10000000149,0.10000000149,0.600000023842,0.600000023842,0.600000023842,0.500000022352,0.24545335505124705,False,False
1,0.05,2500,HT_temperature.T,0,0,2500,283.149993896,288.13828277575,294.93499755849996,317.16620635975,332.99395752,29.027923584000007,16.381313091339607,False,False
1,0.05,2500,RT_level,0,0,918,0.5,1.554152995345,1.75,1.75,2.25,0.19584700465500005,0.4258895466446204,False,False
1,0.05,2500,RT_level_ini,0,0,2,0.0,0.0,2.25,2.25,2.25,2.25,1.097044375832131,False,False
1,0.05,2500,RT_temperature.T,0,0,894,283.033294678,283.033294678,283.033294678,283.05238342275,294.106628418,0.019088744749979014,1.8139462152682335,False,False
1,0.05,2500,Relaxing.active,0,0,2,0.0,0.0,0.0,0.0,1.0,0.0,0.15431839056401048,True,False
1,0.05,2500,boundary.m_flow_in,0,0,2,0.0,0.0,0.0,20.0,20.0,20.0,9.531175862679627,False,False
1,0.05,2500,dL_rand,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True
1,0.05,2500,dT_rand,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True
1,0.05,2500,dir_valve_act,0,0,2,0.0,0.0,0.0,0.0,1.0,0.0,0.09128402439224693,True,False
1,0.05,2500,dt_rand,0,0,2,0.0,0.0,0.0,0.0,0.0434888750315,0.0,0.00783814239666612,True,False
1,0.05,2500,heater_act,0,0,2,0.0,0.0,1.0,1.0,1.0,1.0,0.49528727400723105,False,False
1,0.05,2500,inj_valve_act,0,0,2,0.0,0.0,0.0,1.0,1.0,1.0,0.47655879313398125,False,False
1,0.05,2500,inv_valve_act,0,0,2,0.0,0.0,0.0,0.0,1.0,0.0,0.09549349508234177,True,False
1,0.05,2500,limiter.y,0,0,1,283.0,283.0,283.0,283.0,283.0,0.0,0.0,True,True
1,0.05,2500,limiter1.y,0,0,2,100.0,100.0,100.0,100.0,100.434890747,0.0,0.0783817838357384,True,False
1,0.05,2500,out_valve_act,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True
1,0.1,5000,C_level,0,0,1,0.00999999977648,0.00999999977648,0.00999999977648,0.00999999977648,0.00999999977648,0.0,7.35596317124228e-16,True,False
1,0.1,5000,C_temperature.T,0,0,1,273.149993896,273.149993896,273.149993896,273.149993896,273.149993896,0.0,1.4212276013871878e-11,True,False
1,0.1,5000,HT_level,0,0,158,0.10000000149,0.10000000149,0.600000023842,0.600000023842,0.600000023842,0.500000022352,0.21833266822282157,False,False
1,0.1,5000,HT_temperature.T,0,0,4997,283.149993896,294.94485473624997,314.13812255849996,324.6572799685,332.99810791,29.71242523225004,15.794310201416343,False,False
1,0.1,5000,RT_level,0,0,1030,0.5,1.75,1.75,1.75,2.25,0.0,0.33827695008766445,True,False
1,0.1,5000,RT_level_ini,0,0,2,0.0,2.25,2.25,2.25,2.25,0.0,0.8904997686509792,True,False
1,0.1,5000,RT_temperature.T,0,0,946,283.033294678,283.033294678,294.1065979,302.719146729,309.41784668,19.685852050999983,9.31051497132323,False,False
1,0.1,5000,Relaxing.active,0,0,2,0.0,0.0,0.0,0.0,1.0,0.0,0.23262859500208016,True,False
1,0.1,5000,boundary.m_flow_in,0,0,2,0.0,0.0,0.0,0.0,20.0,0.0,7.586386139060823,True,False
1,0.1,5000,dL_rand,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True
1,0.1,5000,dT_rand,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True
1,0.1,5000,dir_valve_act,0,0,2,0.0,0.0,0.0,0.0,1.0,0.0,0.13002900256597602,True,False
1,0.1,5000,dt_rand,0,0,4,-1.17600023746,-0.212134152651,0.0,0.0,0.0434888750315,0.212134152651,0.4675479719822079,False,False
1,0.1,5000,heater_act,0,0,2,0.0,0.0,1.0,1.0,1.0,1.0,0.4505014875869974,False,False
1,0.1,5000,inj_valve_act,0,0,2,0.0,0.0,0.0,0.0,1.0,0.0,0.37931930695297317,True,False
1,0.1,5000,inv_valve_act,0,0,2,0.0,0.0,0.0,0.0,1.0,0.0,0.11750217594696222,True,False
1,0.1,5000,limiter.y,0,0,1,283.0,283.0,283.0,283.0,283.0,0.0,0.0,True,True
1,0.1,5000,limiter1.y,0,0,4,88.2399978638,97.8786621094,100.0,100.0,100.434890747,2.121337890600003,4.675479928164494,False,False
1,0.1,5000,out_valve_act,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True
1,0.2,10000,C_level,0,0,213,0.00999999977648,0.00999999977648,0.00999999977648,0.00999999977648,0.0799999982119,0.0,0.017958737139329748,True,False
1,0.2,10000,C_temperature.T,0,0,213,273.149993896,273.149993896,273.149993896,273.149993896,323.280944824,0.0,13.491238939144507,True,False
1,0.2,10000,HT_level,0,0,544,0.10000000149,0.10000000149,0.600000023842,0.600000023842,0.600000023842,0.500000022352,0.23047133229237518,False,False
1,0.2,10000,HT_temperature.T,0,0,9967,283.149993896,310.79317474325,323.88699340849996,329.54233551,332.999755859,18.74916076674998,14.346542800398872,False,False
1,0.2,10000,RT_level,0,0,2170,0.5,1.75,1.75,1.75,2.25,0.0,0.3749869082213262,True,False
1,0.2,10000,RT_level_ini,0,0,2,0.0,2.25,2.25,2.25,2.25,0.0,0.6665506274649778,True,False
1,0.2,10000,RT_temperature.T,0,0,1723,283.033294678,294.1065979,309.417816162,321.83303833,330.421569824,27.726440430000025,16.879050125296764,False,False
1,0.2,10000,Relaxing.active,0,0,2,0.0,0.0,0.0,0.0,1.0,0.0,0.32660787998873214,True,False
1,0.2,10000,boundary.m_flow_in,0,0,2,0.0,0.0,0.0,0.0,20.0,0.0,6.969022365243952,True,False
