file_name,archive_index,series,train_boundary,first_anomaly_index,total_length,train_length,test_length,feature_count,column_count_with_label,train_missing_value_count,test_missing_value_count,train_anomaly_count,test_anomaly_count,test_anomaly_ratio,observed_first_anomaly_index,first_anomaly_matches_filename,file_bytes,sha256
032_GHL_id_1_Sensor_tr_50000_1st_65001.csv,32,1,50000,65001,200001,50000,150001,19,20,0,0,0,1850,0.012333251111659256,65001,True,39755238,f3a3af72938582484b057c9a4a63fa2a5d87c4ef4f6756a6eaece4b9058fb4d7
033_GHL_id_2_Sensor_tr_50000_1st_51001.csv,33,2,50000,51001,200001,50000,150001,19,20,0,0,0,1847,0.0123132512449917,51001,True,39838911,59f4f9c80dc9323a66a461e4fc18425d3a852170886487b13831586ae2f1f37d
034_GHL_id_3_Sensor_tr_50000_1st_122001.csv,34,3,50000,122001,200001,50000,150001,19,20,0,0,0,1919,0.012793248045013033,122001,True,39760414,03359ca9d437a9d2acad8e7f6dfff9977956b03349ea9c8899560a3d5a5f2f17
035_GHL_id_4_Sensor_tr_50000_1st_90001.csv,35,4,50000,90001,200001,50000,150001,19,20,0,0,0,2713,0.018086546089692734,90001,True,39589453,bb825dbab0294ce98e5cc1feefa8a6fbe9a6c69efa57c1966a8f6df060e60b7f
036_GHL_id_5_Sensor_tr_50000_1st_67147.csv,36,5,50000,67147,200001,50000,150001,19,20,0,0,0,2283,0.015219898534009773,67147,True,39463191,e15180386a710d99dffe83cf90b30b3beaaba3e118d15555708306d48c2b5e2c
037_GHL_id_6_Sensor_tr_50000_1st_80001.csv,37,6,50000,80001,200001,50000,150001,19,20,0,0,0,1866,0.012439917067219551,80001,True,39769534,b4e530649f990307d159e0573606046cea0c3c3c2b164ae3c390909789efa7ba
038_GHL_id_7_Sensor_tr_50000_1st_100001.csv,38,7,50000,100001,200001,50000,150001,19,20,0,0,0,1695,0.011299924667168885,100001,True,39753134,7f6e7f4ef3c8f0993117c5c8bcf7cf15aeec300d90cd4064d520e655e2cb7799
039_GHL_id_8_Sensor_tr_50000_1st_63030.csv,39,8,50000,63030,200001,50000,150001,19,20,0,0,0,1168,0.007786614755901628,63030,True,39873768,e739e87f538a40e92a43b75db381e83625c9b9c55049271651d2893d148a51e2
040_GHL_id_9_Sensor_tr_50000_1st_92001.csv,40,9,50000,92001,200001,50000,150001,19,20,0,0,0,2387,0.0159132272451517,92001,True,39691143,c2a0f29c6af262fb16251d4663d5e56ef3dc8085f8a278ca2965e37901230699
041_GHL_id_10_Sensor_tr_50000_1st_57001.csv,41,10,50000,57001,200001,50000,150001,19,20,0,0,0,1855,0.012366584222771848,57001,True,39537670,7564c2f313e952f61358640145b72670e3f401f3333f40b1e7cce4a0d0f65b6c
